week,order_cnt,cust_cnt
202039,778,570
202040,1208,758
202041,1332,819
202042,1482,880
202043,1484,883
202044,2296,1063
202045,4736,2439
202046,3269,1672
202047,1888,1049
202048,1430,861
202049,2029,1191
202050,4596,2370
202051,30538,12883
202052,19516,8796
202101,2977,1787
202102,2735,1663
202103,2001,1175
202104,1526,958
202105,2273,1212
202106,1757,1050
202107,1481,956
202108,1254,813
202109,2332,1206
202110,1145,795
202111,3751,2292
202112,8460,3496
202113,6308,2917
202114,4532,2325
202115,8797,4119
202116,2734,1642
202117,18074,7751
202118,1566,1050
202119,1628,1114
202120,2382,1578
202121,1846,1052
202122,1420,956
202123,7357,3077
202124,5516,2335
202125,3294,1572
202126,3040,1392
202127,1894,712
202128,1307,462
202129,773,306
202130,1218,508
202131,803,368
202132,783,360
202133,677,298
202134,621,288
202135,647,271
202136,581,267
202137,1930,778
202138,813,331
202139,277,164
