category,cust_cnt,order_cnt,avg_discount
Appliances,174,329,9.794622501157054
"Beauty & Grooming",54,73,14.585032418664653
Books,4,6,5.438856015779094
Computing,62,93,12.82108053548494
Entertainment,152,257,8.648451606205777
"Health & Sports",19,38,13.009346859617288
"Home & Living",18,24,5.8834085277303405
"Kids & Baby",14,17,4.772337121704649
"Men's Fashion",70,101,11.101531330314721
"Mobiles & Tablets",318,667,6.450584200634029
Others,4698,10160,0.0007699711260827719
"School & Education",3,6,6.4344023323615165
Soghaat,16,34,5.232767293220732
Superstore,40,69,10.188848498203399
"Women's Fashion",75,139,15.713945132759159
